temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base
132.0, 12.0, maize.SegRoot@2f67b837, maize.SegRoot@4716be8b, 252, 30, 2, 18.0, 1.2311503603554177, 0.9573787663266204, -2.298931261114, 1.2252460188605423, 0.9601803347704655, -2.294317156336587, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@1869fbd2, maize.SegRoot@2f67b837, 635, 31, 3, 18.0, 1.2312061176847144, 0.9573572266663809, -2.29898443218677, 1.2311503603554177, 0.9573787663266204, -2.298931261114, 0.029171478, 0.0026734173, 1.2997923E-5, 0.029171478, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@6af9fcb2, maize.SegRoot@2f67b837, 252, 30, 2, 18.0, 1.2367260932850876, 0.9552248003026648, -2.30424836839101, 1.2311503603554177, 0.9573787663266204, -2.298931261114, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@6cce16f4, maize.SegRoot@6af9fcb2, 636, 31, 3, 18.0, 1.2367884869680505, 0.9551985288515142, -2.304290992784188, 1.2367260932850876, 0.9552248003026648, -2.30424836839101, 0.04085876, 0.0052446947, 3.5715286E-5, 0.04085876, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@7efaad5a, maize.SegRoot@6af9fcb2, 252, 30, 2, 17.0, 1.2429654615813885, 0.9525976551876066, -2.3085108077088345, 1.2367260932850876, 0.9552248003026648, -2.30424836839101, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@291a7e3c, maize.SegRoot@7efaad5a, 651, 31, 3, 17.0, 1.2430120054887142, 0.9525424397478053, -2.3085452303701417, 1.2429654615813885, 0.9525976551876066, -2.3085108077088345, 0.01848035, 0.0010729271, 3.3046783E-6, 0.01848035, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@ca30bc1, maize.SegRoot@7efaad5a, 252, 30, 2, 16.0, 1.24761985231394, 0.9470761112074738, -2.3119530738395677, 1.2429654615813885, 0.9525976551876066, -2.3085108077088345, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@1046d517, maize.SegRoot@ca30bc1, 252, 30, 2, 15.0, 1.2513302814977993, 0.9416538497605621, -2.316517259769555, 1.24761985231394, 0.9470761112074738, -2.3119530738395677, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@3b7d3a38, maize.SegRoot@1046d517, 252, 30, 2, 15.0, 1.2560089785396378, 0.936377295964502, -2.3202945301012323, 1.2513302814977993, 0.9416538497605621, -2.316517259769555, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@416c58f5, maize.SegRoot@3b7d3a38, 252, 30, 2, 14.0, 1.2611766656444223, 0.931052004081301, -2.323283890145849, 1.2560089785396378, 0.936377295964502, -2.3202945301012323, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@5505ae1a, maize.SegRoot@416c58f5, 252, 30, 2, 13.0, 1.2659769351107701, 0.9257271368459287, -2.3268339886102165, 1.2611766656444223, 0.931052004081301, -2.323283890145849, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@73cd37c0, maize.SegRoot@5505ae1a, 252, 30, 2, 12.0, 1.2719568631781542, 0.921724627412241, -2.330329754001765, 1.2659769351107701, 0.9257271368459287, -2.3268339886102165, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
