temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base,water_pot_endo, water_pot_exo, Kh, Lr, Lr_percent, radial_water_flux, axial_water_flux, aqp, cavitation,maintenance_demand, growth_demand, dry_mass, growth_eff, photosynthesis, n_uptake, n_satis
132.0, 12.0, maize.SegRoot@3cb5cdba, maize.SegRoot@2d6d8735, 35, 21, 2, 10.0, -2.003230712353756, -5.34955297304686, -2.393800291065368, -2.0021956212997383, -5.348845882695038, -2.3952924796749526, 0.0019488502, 1.19318225E-4, 5.813334E-7, 0.019488502, 0.06556446, 3.064022E-8, 0.0, -0.15386346, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 9.218787E-18, 1.9833517E-14, 0.9999096, 1.0, 3.6703016E-9, 7.52497E-7, 3.064022E-8, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@5aaa6d82, maize.SegRoot@3cb5cdba, 35, 21, 2, 84.0, -2.0045311885543677, -5.349817641282397, -2.392373150750241, -2.003230712353756, -5.34955297304686, -2.393800291065368, 0.019488502, 0.0011931823, 3.8755556E-6, 0.019488502, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 1.9804242E-14, 1.9824298E-14, 1.0, 1.0, 2.321207E-8, 0.0, 0.0, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@6073f712, maize.SegRoot@7d6f77cc, 3, 20, 1, 72.0, -1.780701788162481, -6.76691004673575, -2.776421734056825, -2.004432932745569, -5.334522002250182, -2.391442689226651, 1.083731, 0.2042785, 0.0030641775, 0.06, 0.0, 1.780313E-4, 0.0, -0.15008137, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 3.3236808E-16, 4.2033936E-16, 0.9999096, 1.0, 2.1325845E-5, 0.0, 1.780313E-4, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@56cbfb61, maize.SegRoot@6073f712, 42, 21, 2, 22.0, -1.7775678894175435, -6.776476648289587, -2.780434977453965, -1.780701788162481, -6.76691004673575, -2.776421734056825, 0.059418567, 0.004188993, 2.350105E-5, 0.022440763, 0.07463496, 1.3560847E-6, 0.0, -0.15004574, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 3.8304534E-18, 5.997196E-17, 0.9999096, 1.0, 1.6244138E-7, 1.2434543E-6, 1.3560847E-6, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@1134affc, maize.SegRoot@56cbfb61, 42, 21, 2, 7.0, -1.7290172949148586, -6.779642154344889, -2.7463265434607846, -1.7775678894175435, -6.776476648289587, -2.780434977453965, 0.059418567, 0.004188993, 2.350105E-5, 0.022440763, 0.07463496, 1.2203105E-6, 0.0, -0.15001237, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 1.0359373E-18, 5.61415E-17, 0.9999096, 1.0, 1.461774E-7, 1.118957E-6, 1.2203105E-6, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@43556938, maize.SegRoot@1134affc, 42, 21, 2, 72.0, -1.6742773392176702, -6.784409234327166, -2.723712872300846, -1.7290172949148586, -6.779642154344889, -2.7463265434607846, 0.022440763, 0.0015820678, 5.9171343E-6, 0.022440763, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, 4.39112E-17, 5.5105568E-17, 1.0, 1.0, 3.5439804E-8, 0.0, 0.0, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@3d04a311, maize.SegRoot@6073f712, 3, 20, 1, 61.0, -1.4673119136687494, -7.723570202119488, -3.1777460737708165, -1.780701788162481, -6.76691004673575, -2.776421734056825, 0.2680864, 0.050533097, 7.5799646E-4, 0.06, 0.0, 4.3679036E-5, 0.0, -0.15000631, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 6.3632755E-18, 2.799931E-17, 0.9999096, 1.0, 5.232183E-6, 0.0, 4.3679036E-5, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@d041cf, maize.SegRoot@3d04a311, 54, 21, 2, 18.0, -1.467054266368109, -7.7259684363849015, -3.178916168957541, -1.4673119136687494, -7.723570202119488, -3.1777460737708165, 0.06928765, 0.005784394, 3.8428203E-5, 0.026573708, 0.08697845, 2.1973901E-6, 0.0, -0.15000182, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 2.1094151E-19, 6.4559602E-18, 0.9999096, 1.0, 2.6321888E-7, 2.0136586E-6, 2.1973901E-6, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@129a8472, maize.SegRoot@d041cf, 54, 21, 2, 4.0, -1.5198682792327927, -7.715808169761969, -3.222599433562508, -1.467054266368109, -7.7259684363849015, -3.178916168957541, 0.0026573709, 2.2184734E-4, 1.4738266E-6, 0.026573708, 0.08697845, 7.5014405E-8, 0.0, -0.15000166, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 7.353924E-21, 6.245019E-18, 0.9999096, 1.0, 8.985754E-9, 1.7923674E-6, 7.5014405E-8, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@7a46a697, maize.SegRoot@129a8472, 54, 21, 2, 61.0, -1.5222034436291674, -7.715431837073452, -3.223810631697021, -1.5198682792327927, -7.715808169761969, -3.222599433562508, 0.026573708, 0.0022184732, 9.8255105E-6, 0.026573708, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, -6.157501E-17, 6.2376648E-18, 1.0, 1.0, 5.8848446E-8, 0.0, 0.0, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@5f205aa, maize.SegRoot@3d04a311, 3, 20, 1, 49.0, -1.4415471836047182, -7.963393628660863, -3.2947555924432477, -1.4673119136687494, -7.723570202119488, -3.1777460737708165, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 9.856576E-7, 0.0, -0.15000539, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 1.2181541E-19, 1.5180074E-17, 0.9999096, 1.0, 1.1806902E-7, 0.0, 9.856576E-7, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@ba4d54, maize.SegRoot@5f205aa, 3, 20, 1, 38.0, -1.4416828235557573, -7.96903343237276, -3.296798681840613, -1.4415471836047182, -7.963393628660863, -3.2947555924432477, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 9.775737E-7, 0.0, -0.15000449, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 1.0138068E-19, 1.5058259E-17, 0.9999096, 1.0, 1.1710066E-7, 0.0, 9.775737E-7, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@12bc6874, maize.SegRoot@ba4d54, 3, 20, 1, 25.0, -1.440900513213823, -7.9740584184861865, -3.2999826264820062, -1.4416828235557573, -7.96903343237276, -3.296798681840613, 0.006, 0.0011309733, 1.69646E-5, 0.06, 0.0, 9.856576E-7, 0.0, -0.1500036, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 8.1083514E-20, 1.495688E-17, 0.9999096, 1.0, 1.1806902E-7, 0.0, 9.856576E-7, 0.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.MerisRoot@de0a01f, maize.SegRoot@12bc6874, 76, 21, 2, 25.0, -1.4408937266854573, -7.97410971811201, -3.3000129957306337, -1.440900513213823, -7.9740584184861865, -3.2999826264820062, 0.025913185, 0.0021095579, 9.110894E-6, 0.025913185, 0.0, 0.0, 0.0, -0.15, -0.15, 9.9999999E14, 1.0E-7, 0.0, -5.855199E-17, 1.3834667E-17, 1.0, 1.0, 5.4568353E-8, 0.0, 0.0, 1.0, 0.0, 0.2912083260834227, 0.7261331566308524
132.0, 12.0, maize.SegRoot@1b0375b3, maize.SegRoot@12bc6874, 3, 20, 1, 15.0, -1.4402218603772579, -7.979188381068519, -3.3030195513447524, -1.440900513213823, -7.9740584184861865, -3.2999826264820062, 0.32624546, 0.061495822, 9.224373E-4, 0.06, 0.17313588, 5.183615E-5, 0.0, -0.1500002, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 2.316553E-19, 1.0411287E-18, 0.9999096, 1.0, 6.2092995E-6, 2.0081594E-5, 5.183615E-5, 0.22333151, 0.0, 0.2912083260834227, 0.7261331566308524
