temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base,water_pot_endo, water_pot_exo, Kh, Lr, Lr_percent, radial_water_flux, axial_water_flux, aqp, cavitation,maintenance_demand, growth_demand, dry_mass, growth_eff, photosynthesis
12.0, 12.0, maize.SegLeaf@27fa135a, maize.SegLeaf@68de145, 1, 41, 1, 1.0, 0.6, 0.0, -1.4625999927334488, 0.6, 0.0, -1.9801000004447997, 0.01, 1.0874271E-9, 1.0874271E-11, 1.0874271E-7, 0.545, 0.0, 0.0, -0.4, -0.15, 1.19336161E10, Infinity, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.2978986E-12, 0.0, 1.0, 0.0
12.0, 12.0, maize.MerisLeaf@46f7f36a, maize.SegLeaf@27fa135a, 0, 41, 2, 6.0, 0.6, 0.0, -1.4525999927334488, 0.6, 0.0, -1.4625999927334488, 0.01, 4.3497086E-9, 1.0874271E-11, 1.0874271E-7, 0.0, 0.0, 0.0, -0.4, -0.15, 8.37969E-11, 9.9999999E14, 1.0, 0.0, 0.0, 1.0, 1.0, 1.3025969E-15, 7.938218E-15, 0.0, 1.0, 0.0
12.0, 12.0, maize.MerisStem@421faab1, maize.SegStem@5a10411, 3, 40, 1, 12.0, 0.6, 0.0, -1.9800000004470348, 0.6, 0.0, -1.9900000002235174, 0.4, 0.50265485, 0.033510324, 0.4, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 9.9999999E14, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0141025E-5, 0.0, 0.0, 1.0, 0.0
12.0, 12.0, maize.SegRoot@2b71fc7e, maize.ArtVirt@533ddba, 2, 20, 1, 12.0, 0.6, 0.0, -2.0, 0.0, 0.0, -2.0, 1.2322468, 0.23227303, 0.0034840954, 0.06, 0.17313588, 1.908072E-4, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 2.2856231E-5, 1.9570729E-5, 1.908072E-4, 1.0, 0.0
12.0, 12.0, maize.MerisRoot@5ce65a89, maize.SegRoot@2b71fc7e, 2, 20, 1, 12.0, 1.8322467315942048, 0.0, -2.0, 0.6, 0.0, -2.0, 0.06, 0.011309733, 1.13097325E-4, 0.06, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 6.773798E-7, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.ArtVirt@533ddba, maize.ArtVirt@533ddba, 0, 0, 0, 36.0, 0.0, 0.0, -2.0, 0.0, 0.0, -2.0, 1.0, 3.1415927, 0.5235988, 1.0, 0.0, 0.0, 0.0, -0.4, -0.15, 5.00000597E14, 9.9999999E14, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@246b179d, maize.ArtVirt@533ddba, 1, 10, 1, 36.0, 0.6, 0.0, -2.0, 0.0, 0.0, -2.0, 1.5, 0.37699112, 0.0075398223, 0.08, 0.0, 4.349081E-4, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 5.209636E-5, 0.0, 4.349081E-4, 1.0, 0.0
36.0, 12.0, maize.SegRoot@7a07c5b4, maize.SegRoot@246b179d, 1, 10, 1, 25.0, 0.6000000000000001, -1.8369701987210297E-16, -3.5, 0.6, 0.0, -2.0, 1.0816302, 0.2718433, 0.005436866, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 3.7566E-5, 0.0, 0.0, 0.0, 0.0
36.0, 12.0, maize.MerisRoot@26a1ab54, maize.SegRoot@7a07c5b4, 6, 11, 2, 25.0, 0.6000000000000001, -1.8502163482363718E-16, -3.5108163019121634, 0.6000000000000001, -1.8369701987210297E-16, -3.5, 0.02440831, 0.0018716529, 7.6139804E-6, 0.02440831, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 4.5602814E-8, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@25f38edc, maize.SegRoot@7a07c5b4, 1, 10, 1, 17.0, 0.6000000000000002, -3.161585150255244E-16, -4.581630191216327, 0.6000000000000001, -1.8369701987210297E-16, -3.5, 0.4365987, 0.109729216, 0.0021945843, 0.08, 0.0, 1.2918036E-4, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 1.5474134E-5, 0.0, 1.2918036E-4, 1.0, 0.0
36.0, 12.0, maize.MerisRoot@1a86f2f1, maize.SegRoot@25f38edc, 11, 11, 2, 17.0, 0.5995572453421353, -9.140090944124934E-5, -4.585972708441175, 0.6000000000000002, -3.161585150255244E-16, -4.581630191216327, 0.031545427, 0.003126243, 1.6436445E-5, 0.031545427, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 9.8443664E-8, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@3eb07fd3, maize.SegRoot@25f38edc, 1, 10, 1, 6.0, 0.555724534213512, -0.009140090944093635, -5.015881913701141, 0.6000000000000002, -3.161585150255244E-16, -4.581630191216327, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.21468802, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 2.522311E-7, 4.125052E-5, 0.0, 0.0, 0.0
36.0, 12.0, maize.MerisRoot@3d646c37, maize.SegRoot@3eb07fd3, 1, 10, 1, 36.0, 0.5549110931678918, -0.009956073972185408, -5.02379850908692, 0.555724534213512, -0.009140090944093635, -5.015881913701141, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 1.6056409E-6, 0.0, 0.0, 0.0, 0.0
